name_with_owner,created_at,updated_at,is_archived,stargazers,primary_language,releases_count,prs_merged,issues_open,issues_closed,issues_closed_pct,top_languages
facebook/deno,2012-03-17,2017-07-23,False,339783,Ruby,38,20155,2002,2160,51.9,JavaScript:642914|Rust:3713983|C:1376500
golang/freeCodeCamp,2018-11-05,2022-04-16,False,203404,Java,132,5936,3382,8122,70.6,Ruby:2280668|C++:1079844|PHP:1642870
golang/electron,2013-08-27,2022-07-10,False,102457,Ruby,14,2085,4632,9414,67.0,TypeScript:4670923|C++:2526787|Python:4866854
rust-lang/go,2014-06-08,2017-04-17,False,370312,Go,33,29921,1693,4095,70.7,C:1521805|JavaScript:4523699|Python:3599988
freeCodeCamp/vscode,2010-10-10,2025-02-15,False,175176,JavaScript,83,9786,4903,7079,59.1,C:2671128|Python:1327888|PHP:434738
electron/angular,2009-02-27,2014-01-17,False,345862,C,152,30514,2964,8974,75.2,Rust:1329955|Python:2432421|PHP:1904668
tensorflow/freeCodeCamp,2009-12-07,2023-12-24,False,276232,Rust,15,13381,4145,16897,80.3,Ruby:4039592|C:2580086|Go:1423547
microsoft/deno,2019-12-18,2021-02-05,False,68062,C++,161,21547,649,1876,74.3,Go:1849893|PHP:3589514|Ruby:257995
spring-projects/vscode,2016-06-18,2019-10-31,False,141537,Rust,46,49396,4292,4298,50.0,Python:1352720|Java:98641|C++:2253475
angular/electron,2017-05-17,2021-08-13,False,78378,Python,6,9087,2297,7881,77.4,PHP:2774483|C:1129694|Rust:2495748
python/electron,2015-09-30,2016-09-17,False,285699,C,193,37951,3228,4496,58.2,Java:42537|Ruby:4424109|Go:1469106
tensorflow/linux,2020-05-15,2022-07-13,False,368847,Ruby,6,20873,145,587,80.2,Ruby:3584863|PHP:2732299|C++:2540949
django/next.js,2020-06-13,2024-08-27,False,271624,Java,70,33880,3717,13431,78.3,TypeScript:1820259|JavaScript:1906078|Java:1098925
laravel/angular,2017-07-30,2020-10-16,False,295562,C,68,338,4983,5287,51.5,JavaScript:1198301|TypeScript:2724351|Rust:1314061
tensorflow/electron,2011-09-11,2023-01-20,False,117409,Rust,74,26126,1319,6737,83.6,Go:4143694|PHP:1265946|C++:132717
vuejs/electron,2019-09-25,2020-12-28,False,358300,Java,68,43968,869,5149,85.6,Java:3521550|C:2006957|Rust:1783363
torvalds/vscode,2014-10-01,2018-05-12,False,288000,Rust,43,24310,1504,5556,78.7,Python:2369372|Ruby:3974920|C++:738397
angular/deno,2008-04-01,2009-10-25,False,371982,TypeScript,200,39490,2925,4204,59.0,C++:1126670|Python:1573549|Ruby:4783865
python/freeCodeCamp,2019-02-18,2022-09-13,False,285837,Rust,146,11073,1408,8389,85.6,C++:1327478|JavaScript:2148077|C:3544408
laravel/react,2008-02-16,2012-01-30,False,240190,TypeScript,13,38043,1761,5526,75.8,Python:667105|PHP:1922552|JavaScript:3223589
electron/electron,2017-05-04,2019-10-17,False,263051,JavaScript,172,30052,1296,9165,87.6,C:4084893|Java:4952466|Go:1971451
vuejs/laravel,2024-01-14,2024-06-15,False,399697,Python,49,20618,1798,9855,84.6,Java:1186028|Rust:4397348|PHP:1552266
python/next.js,2012-07-25,2021-12-30,False,75021,C++,91,26822,3634,4279,54.1,Rust:2847543|Go:1744653|Python:850438
denoland/spring-boot,2017-11-06,2023-11-15,False,61351,JavaScript,24,32578,1866,8303,81.7,Go:1152954|Python:3411355|JavaScript:4135444
vuejs/tensorflow,2019-08-05,2024-02-21,False,177078,PHP,171,7795,782,3703,82.6,PHP:1694005|Ruby:4784758|C:4808841
denoland/angular,2016-07-12,2019-12-23,False,357672,JavaScript,179,954,2124,3149,59.7,Python:2182440|Go:3280615|C:3898320
spring-projects/react,2012-08-10,2017-10-23,False,164472,C,124,3414,1511,6899,82.0,C++:1119384|Python:2761823|Go:4179378
spring-projects/vscode,2020-07-05,2025-01-29,False,307273,JavaScript,80,6588,4735,13448,74.0,Go:4524470|JavaScript:991684|C:3235986
torvalds/laravel,2009-10-10,2022-05-08,False,100820,Go,168,30221,3037,5618,64.9,C:1159273|PHP:3037546|Rust:3727653
microsoft/angular,2020-08-16,2022-04-23,False,325551,Python,168,23886,1084,1130,51.0,TypeScript:742517|Rust:4565132|Go:1550930
microsoft/linux,2008-10-07,2013-07-26,False,345477,Go,172,28406,3919,4987,56.0,Rust:4862676|Python:3504882|JavaScript:1679349
tensorflow/rust,2018-08-29,2025-01-23,False,384654,Rust,95,33011,2538,6355,71.5,Java:1267030|Ruby:3858618|Rust:4153232
torvalds/rust,2022-08-14,2024-06-09,False,69448,TypeScript,142,3785,3925,6023,60.5,Ruby:210898|PHP:559677|C++:1621132
freeCodeCamp/linux,2013-09-23,2014-04-30,False,267019,Java,191,8511,2474,9841,79.9,PHP:681373|C:10543|TypeScript:813064
denoland/tensorflow,2011-07-20,2021-11-06,False,397844,Ruby,196,37056,490,9484,95.1,Java:3859388|Python:1220392|Ruby:741620
microsoft/freeCodeCamp,2022-01-04,2022-05-26,False,358391,Rust,39,9630,498,1111,69.0,JavaScript:1823295|Rust:1184964|C:461726
torvalds/next.js,2014-07-21,2015-12-22,False,77470,Ruby,129,30220,3386,9205,73.1,C++:1454345|Rust:4647638|PHP:995943
laravel/freeCodeCamp,2012-09-20,2022-11-24,False,221240,Go,22,34831,1050,5373,83.7,Rust:3784153|C++:183941|JavaScript:2878962
torvalds/linux,2008-09-02,2009-10-09,False,200907,Python,67,15381,3571,7856,68.7,Python:2290010|C:499728|C++:4656230
tensorflow/spring-boot,2014-05-13,2014-11-27,False,257902,Ruby,86,25577,3703,9182,71.3,C:1102574|PHP:1782152|C++:1970265
freeCodeCamp/freeCodeCamp,2013-10-29,2015-10-04,False,161319,Go,9,36898,2361,5235,68.9,PHP:3307123|Ruby:2200239|Python:1963746
apple/linux,2019-09-20,2023-03-03,False,180741,Go,194,45273,4339,6258,59.1,C++:419028|C:2819914|PHP:2572188
tensorflow/go,2012-04-28,2015-11-11,False,125709,Java,135,27286,245,6257,96.2,Ruby:1088447|Java:3378846|C:3514440
freeCodeCamp/angular,2011-03-11,2012-11-03,False,385863,PHP,82,38542,23,6547,99.6,Go:1978121|Java:2733449|TypeScript:2851656
angular/laravel,2010-11-17,2022-04-06,False,393206,C,177,12051,4757,9255,66.1,PHP:1729719|Java:1998592|Python:4439527
spring-projects/swift,2024-08-16,2025-05-10,False,389469,PHP,20,4199,2766,6100,68.8,Java:773602|Rust:2322674|Go:4464019
python/go,2010-04-05,2020-02-17,False,80908,JavaScript,71,13266,1521,3772,71.3,PHP:3509804|C++:2838276|TypeScript:887493
denoland/next.js,2012-12-01,2017-05-18,False,73055,TypeScript,95,18367,2538,4205,62.4,Go:156291|C:2085469|Java:94143
denoland/cpython,2013-05-21,2023-12-06,False,256977,JavaScript,78,47305,1988,5850,74.6,Python:4686563|PHP:3990983|TypeScript:30934
apple/deno,2010-12-28,2014-04-17,False,75834,Go,164,48440,116,188,61.8,PHP:391098|Rust:3803111|Ruby:3204052
tensorflow/angular,2013-05-20,2015-11-08,False,189542,Java,119,11797,3333,7824,70.1,C:2043192|PHP:1351710|Rust:1429493
django/vscode,2019-04-18,2019-07-01,False,364125,Rust,63,5834,1866,14720,88.7,Ruby:1995242|Rust:2914361|C:4698221
spring-projects/django,2009-07-17,2025-03-11,False,129747,PHP,181,16592,1013,2651,72.4,Rust:361310|C:3799593|PHP:4010719
microsoft/tensorflow,2020-05-10,2024-03-08,False,264250,PHP,135,35829,2964,8093,73.2,Ruby:1789321|TypeScript:1682625|C++:2510922
torvalds/linux,2009-11-20,2016-01-07,False,393556,Go,191,31808,2894,10783,78.8,Python:436147|C++:3219752|C:2398714
torvalds/go,2016-07-20,2023-03-22,False,190473,C++,161,6160,3135,4241,57.5,Java:498843|Python:4366737|TypeScript:955656
golang/tensorflow,2015-09-02,2022-05-27,False,383543,C++,117,21132,928,2036,68.7,Java:2653495|PHP:4934414|C++:4465658
vuejs/vscode,2018-06-08,2021-11-16,False,209871,Python,60,3010,3087,3534,53.4,C++:3928157|Java:1556126|TypeScript:2232193
apple/tensorflow,2017-10-13,2017-11-27,False,80428,Python,103,1239,2168,4477,67.4,Ruby:4368297|C:881922|C++:1442222
torvalds/rust,2012-05-16,2017-02-19,False,292682,C,21,47788,1179,6352,84.3,TypeScript:1471442|Go:1853042|Rust:3222187
vercel/rust,2014-10-08,2022-09-10,False,381891,C,38,30670,821,13794,94.4,Go:1157155|TypeScript:1911754|C:211169
python/next.js,2008-11-24,2015-09-03,False,229028,C,72,18506,916,9918,91.5,TypeScript:451541|Go:2074193|Rust:4847278
vuejs/vue,2009-06-10,2014-03-30,False,352415,Java,131,5743,4328,5552,56.2,Rust:4246849|JavaScript:1708022|PHP:2890652
vercel/angular,2025-04-10,2025-04-23,False,149419,PHP,46,47468,1701,2026,54.4,TypeScript:1648497|Go:3232246|C:391416
spring-projects/deno,2016-02-01,2019-07-15,False,257471,Go,170,3667,3536,4277,54.7,Java:1449127|Go:539393|C++:4491207
django/go,2023-02-10,2023-08-21,False,324346,Python,54,11060,2103,2121,50.2,Go:947402|Python:1574409|C++:2678602
apple/vscode,2022-06-05,2024-05-30,False,188472,Python,166,33163,3203,7272,69.4,PHP:1564773|C:1986193|Python:3768903
django/next.js,2014-12-13,2024-11-02,False,261649,TypeScript,196,1743,4923,5720,53.7,Python:944256|C++:1657530|PHP:3901432
python/rust,2010-07-13,2013-05-13,False,248510,Ruby,64,45743,1255,2696,68.2,TypeScript:4466346|JavaScript:1662963|Java:3043207
django/tensorflow,2011-03-13,2012-09-30,False,307649,TypeScript,67,17659,290,12406,97.7,PHP:3778275|Go:4295666|Ruby:3752938
django/deno,2015-04-27,2017-07-09,False,256362,JavaScript,61,13378,1022,1467,58.9,Java:4967883|Python:2237489|PHP:3289006
apple/electron,2025-06-22,2025-06-27,False,229713,Java,78,5835,1426,11036,88.6,Rust:4879979|PHP:4395366|Java:2759933
tensorflow/electron,2017-01-05,2019-02-25,False,52924,C,5,35706,818,5228,86.5,C++:3796635|C:4687217|Go:3247634
torvalds/vue,2019-06-26,2024-04-08,False,80916,Python,189,36977,3390,4633,57.7,C:727636|C++:2786700|Go:1557085
spring-projects/rust,2016-07-06,2016-12-04,False,303619,Java,91,15450,3893,3990,50.6,Rust:3712868|JavaScript:2785872|Python:1031202
torvalds/electron,2022-02-02,2023-01-02,False,63620,Java,114,27349,2809,3061,52.1,C:502678|TypeScript:3643416|Python:3581156
facebook/go,2020-11-09,2024-04-18,False,150960,Python,149,33038,3207,3377,51.3,Go:87924|Java:60424|C++:2256565
denoland/go,2009-06-20,2025-05-03,False,258783,Go,118,14279,148,1216,89.1,JavaScript:4966377|C++:4791819|Rust:1014963
django/linux,2012-02-21,2017-06-28,False,300371,C,146,27585,1509,3818,71.7,JavaScript:1673173|Java:1527943|Ruby:1660478
rust-lang/go,2022-09-21,2023-05-19,False,217136,C++,154,44095,1337,7419,84.7,C:1443860|Python:2624351|Ruby:854691
spring-projects/spring-boot,2010-04-08,2025-08-04,False,378712,Rust,58,3973,2407,3489,59.2,Python:4979366|TypeScript:3912223|Go:1688000
laravel/react,2022-07-28,2023-04-21,False,79532,C++,82,26682,2119,5222,71.1,Go:4833425|TypeScript:229613|Ruby:4176825
spring-projects/spring-boot,2020-03-04,2023-03-29,False,363315,Python,72,44884,1804,3157,63.6,Python:722637|C:2296706|C++:2300233
laravel/go,2020-11-26,2023-02-05,False,267240,Python,117,13766,260,7793,96.8,C++:2287542|Rust:1002420|C:2969841
golang/next.js,2012-04-04,2016-11-29,False,358547,Go,51,17268,500,1223,71.0,C:1286188|Python:3633185|Ruby:1167502
apple/freeCodeCamp,2019-02-14,2020-01-10,False,344196,Rust,166,49852,941,1168,55.4,Ruby:738778|PHP:3371198|C:4939630
spring-projects/vscode,2021-11-29,2023-12-01,False,335847,Go,104,5666,4748,4751,50.0,PHP:4944275|Go:2806291|Python:1640630
torvalds/tensorflow,2010-04-08,2018-01-25,False,115509,Python,82,6679,3917,13653,77.7,Python:1109795|TypeScript:4928614|JavaScript:4425661
django/vue,2016-04-03,2024-08-23,False,137542,JavaScript,69,11673,4096,9986,70.9,TypeScript:1394359|C:2145310|JavaScript:3758187
angular/go,2014-09-09,2025-05-07,False,370020,Java,185,27761,3946,10606,72.9,C++:1904871|Go:1360657|JavaScript:2093473
spring-projects/freeCodeCamp,2021-12-10,2023-06-10,False,56988,Rust,110,16972,1205,4081,77.2,C:4129716|PHP:1394006|TypeScript:3929129
rust-lang/spring-boot,2021-06-18,2023-09-22,False,79667,Ruby,26,32042,4650,4859,51.1,JavaScript:1380962|Go:1685416|Python:1221369
facebook/tensorflow,2014-04-10,2025-03-26,False,186304,TypeScript,155,414,1691,9618,85.0,Rust:4838686|C++:2940738|PHP:3376640
spring-projects/freeCodeCamp,2024-06-15,2025-04-07,False,319913,C,163,31584,4127,6835,62.4,TypeScript:953166|JavaScript:918599|Rust:3877621
microsoft/deno,2014-09-21,2019-06-21,False,82175,Go,31,20991,3276,3443,51.2,C++:153123|Ruby:2953468|TypeScript:2230715
spring-projects/cpython,2009-11-13,2014-03-27,False,79438,Ruby,132,44956,4393,5317,54.8,C++:678335|Java:32333|Rust:4477031
django/swift,2012-07-22,2014-09-26,False,81688,Go,18,15656,4213,5926,58.4,TypeScript:2529491|Java:4989216|C:4341384
python/django,2010-09-22,2015-02-25,False,284072,Python,85,14508,4773,6542,57.8,C:4958474|C++:451893|Rust:4346299
facebook/vue,2023-06-13,2025-07-25,False,80300,Python,25,27394,3353,16418,83.0,Java:1390382|PHP:3043686|Go:2187588
electron/django,2024-02-13,2024-02-16,False,124863,PHP,133,41591,3063,3222,51.3,PHP:1003317|C++:1841259|TypeScript:3142024
rust-lang/freeCodeCamp,2016-07-10,2017-10-27,False,59489,TypeScript,172,5952,2527,3032,54.5,Rust:447962|C++:53743|Java:1793932
django/tensorflow,2018-09-16,2020-06-03,False,313717,PHP,81,5691,4847,5150,51.5,PHP:1331593|C:4768967|TypeScript:221460
electron/vscode,2013-06-30,2025-05-18,False,338695,C++,165,27829,422,2841,87.1,Ruby:1481531|C++:4946455|JavaScript:1141058
angular/rust,2024-12-05,2025-03-19,False,187167,Go,132,7606,594,7869,93.0,Rust:2788323|PHP:3184192|C++:366182
vuejs/laravel,2016-03-13,2016-11-03,False,362779,JavaScript,31,36856,4718,9110,65.9,C++:2472148|TypeScript:4237736|Rust:3371161
angular/rust,2019-05-15,2024-05-21,False,144964,C++,154,24119,2503,5336,68.1,Python:3952760|TypeScript:2481317|JavaScript:4203569
apple/next.js,2012-01-23,2025-06-18,False,178400,Go,89,46141,1324,2122,61.6,C:2979760|Ruby:2703791|C++:2091291
denoland/electron,2013-06-25,2021-07-23,False,199176,C++,104,12050,945,1383,59.4,PHP:2194036|TypeScript:3671070|Rust:4485170
vuejs/react,2019-03-14,2019-04-25,False,297228,C++,54,45936,4721,5970,55.8,PHP:4229405|JavaScript:4445831|Ruby:4267878
rust-lang/react,2018-07-11,2024-08-05,False,90052,Python,5,7932,4241,16174,79.2,Rust:803053|JavaScript:697881|Ruby:2196259
python/vue,2022-01-08,2022-04-21,False,175315,PHP,129,37831,3130,4960,61.3,C++:2093850|JavaScript:3779565|Rust:775735
angular/tensorflow,2017-12-11,2022-08-15,False,361968,Ruby,116,48953,1104,7310,86.9,TypeScript:583824|Rust:4932525|Go:1825967
torvalds/electron,2017-09-04,2024-11-27,False,202316,Ruby,78,7375,2604,15331,85.5,Go:785138|Java:2007794|C++:45812
electron/vscode,2022-03-27,2024-06-15,False,162931,Rust,136,5861,4491,4908,52.2,C:1036515|TypeScript:275192|PHP:3831778
laravel/cpython,2017-12-21,2022-07-19,False,214569,Go,100,14169,2167,2343,52.0,Java:3192077|JavaScript:1075031|PHP:600327
torvalds/tensorflow,2020-02-22,2022-12-16,False,67449,Java,31,18982,4556,6533,58.9,JavaScript:366937|Go:2772731|Rust:1524355
vuejs/next.js,2021-08-17,2024-07-28,False,353363,Ruby,109,31118,2953,4981,62.8,JavaScript:1893968|Ruby:3382945|TypeScript:2700649
angular/spring-boot,2025-03-14,2025-04-04,False,311700,JavaScript,114,1180,3319,12580,79.1,C:783870|Rust:4754456|PHP:800703
rust-lang/rust,2025-02-19,2025-06-28,False,387737,Go,67,19893,1488,3186,68.2,Rust:2409966|JavaScript:1893324|Go:1420719
angular/freeCodeCamp,2017-04-05,2023-08-18,False,356327,JavaScript,181,25681,2179,4126,65.4,C++:3147626|Python:161293|Go:732757
python/angular,2021-04-23,2022-11-04,False,345320,C++,75,17440,615,2324,79.1,Rust:2607150|JavaScript:1885020|Go:1432655
denoland/django,2012-01-25,2020-11-10,False,368170,Python,197,16763,555,12102,95.6,Go:4466839|Python:3297467|PHP:2649803
denoland/cpython,2023-12-14,2024-09-16,False,169553,C,64,1256,2153,6835,76.0,Rust:3792837|Ruby:2108312|PHP:3561857
angular/next.js,2024-06-20,2025-06-22,False,352469,C++,37,16301,1365,3151,69.8,TypeScript:2162850|C++:2436768|JavaScript:2087126
spring-projects/vscode,2023-04-29,2023-10-13,False,168329,TypeScript,131,13294,2776,5547,66.6,Rust:4887337|PHP:3968153|JavaScript:897862
django/linux,2013-11-04,2024-01-22,False,236622,PHP,20,17727,1648,2368,59.0,Ruby:2995542|JavaScript:799992|Rust:3844301
python/vscode,2021-11-30,2024-07-09,False,266597,Java,8,5824,1560,7158,82.1,JavaScript:2406544|PHP:4809563|Rust:4265972
python/react,2016-07-27,2017-10-10,False,185031,C,21,5148,1465,7627,83.9,Python:2327980|Go:1252496|TypeScript:3338638
golang/swift,2024-02-05,2024-04-28,False,165619,Rust,100,36879,2389,4488,65.3,TypeScript:3576982|C:4262253|Go:160784
spring-projects/next.js,2025-07-01,2025-07-15,False,60547,C++,118,44129,1194,6663,84.8,JavaScript:4692004|C++:4839196|Java:4461758
vuejs/cpython,2013-07-02,2024-01-31,False,208887,Rust,119,25088,2946,11669,79.8,TypeScript:1653322|Rust:3759302|Java:4155096
microsoft/react,2017-12-16,2021-07-10,False,135565,Go,126,34842,1523,3740,71.1,PHP:4124597|Python:4623127|C++:854453
electron/vue,2020-03-17,2025-04-22,False,303823,Rust,175,30744,574,2915,83.5,TypeScript:1492040|Python:2388665|C:1390978
torvalds/react,2019-03-03,2023-06-20,False,110953,Rust,142,9892,4096,4132,50.2,C:3378488|Rust:1779432|Ruby:3999940
torvalds/django,2012-11-18,2016-11-08,False,175506,Python,5,7427,4907,6521,57.1,Go:990497|Python:2738099|TypeScript:307537
electron/vue,2012-06-03,2019-01-17,False,68233,PHP,39,29345,3732,3958,51.5,C++:60414|Rust:869477|JavaScript:4255695
torvalds/rust,2024-02-24,2025-02-05,False,114066,Python,123,8897,4208,13003,75.6,Ruby:4056719|Java:4041904|C:2207540
electron/electron,2021-11-18,2021-11-19,False,168713,JavaScript,88,8350,3469,4728,57.7,JavaScript:815770|Ruby:1737503|TypeScript:3817219
golang/vue,2017-09-15,2024-11-30,False,245851,Ruby,199,39478,1628,5166,76.0,Java:3846630|PHP:1355856|C++:2886217
python/django,2025-04-01,2025-06-18,False,352581,Java,84,24877,2563,12879,83.4,TypeScript:1184114|C:1515455|Go:3400573
golang/tensorflow,2010-12-28,2013-02-05,False,233852,Rust,36,31175,2563,4723,64.8,Python:2772915|Java:778032|JavaScript:190489
angular/vue,2024-02-18,2025-06-25,False,137774,TypeScript,26,24757,3747,4182,52.7,PHP:2403271|Rust:1055967|JavaScript:3638368
electron/django,2014-07-05,2025-05-13,False,331494,Java,21,32645,874,2105,70.7,TypeScript:4388891|Go:3328873|Python:3012215
laravel/vue,2009-10-11,2012-10-22,False,349381,JavaScript,185,43211,1744,2211,55.9,C:758864|Rust:3138764|Python:3442950
golang/angular,2022-03-12,2022-08-27,False,381092,Python,128,48966,1881,2143,53.3,JavaScript:3429398|Go:1705005|Rust:3804080
angular/vscode,2022-04-24,2022-11-05,False,326403,JavaScript,70,31430,1529,1852,54.8,Java:3194948|C:2882777|PHP:2530618
facebook/swift,2010-06-04,2024-09-01,False,149065,C,32,12728,2740,8132,74.8,Rust:2352574|JavaScript:2923901|Java:3873651
denoland/deno,2018-10-02,2020-12-20,False,309236,TypeScript,118,30875,4468,4479,50.1,Go:3543560|Rust:3474654|TypeScript:1059732
torvalds/react,2018-03-31,2024-06-23,False,257917,Go,34,38843,1485,6857,82.2,Python:1057448|C:4417208|C++:4565862
python/rust,2016-05-20,2022-11-10,False,393076,JavaScript,42,12046,1729,5101,74.7,Go:4122367|C++:1778477|Java:1931334
angular/spring-boot,2017-05-14,2022-07-15,False,150122,Go,198,34901,2805,12547,81.7,JavaScript:1519577|TypeScript:4829019|Ruby:4319244
tensorflow/next.js,2008-04-13,2015-04-17,False,54531,PHP,49,24814,2546,3080,54.7,Ruby:1228016|Java:708412|TypeScript:355003
freeCodeCamp/tensorflow,2016-02-27,2020-01-22,False,279296,JavaScript,178,38210,2359,3262,58.0,JavaScript:4960531|TypeScript:2254212|Go:2517360
rust-lang/vue,2022-09-29,2024-06-18,False,234792,TypeScript,20,2866,4268,5424,56.0,Ruby:2427505|C:3647252|TypeScript:1181120
facebook/spring-boot,2009-02-01,2014-04-19,False,245625,Go,127,30560,1150,6199,84.4,Ruby:4675782|PHP:2625224|C++:483902
tensorflow/vue,2008-09-23,2009-08-12,False,225113,Ruby,59,40270,3157,7056,69.1,Rust:106002|Python:4628807|JavaScript:3541924
apple/next.js,2008-08-26,2010-07-07,False,248854,JavaScript,8,31348,1914,6047,76.0,Go:369630|C++:2611569|JavaScript:977039
rust-lang/freeCodeCamp,2021-02-22,2024-10-28,False,227202,Python,179,44182,4544,5123,53.0,Java:3653399|JavaScript:1600523|PHP:1429075
tensorflow/linux,2016-12-03,2024-03-07,False,284192,PHP,182,49184,2126,8443,79.9,C:551288|Rust:3435826|Python:1631801
spring-projects/electron,2023-03-07,2024-01-20,False,225661,C++,155,18095,394,1669,80.9,JavaScript:595126|C:301725|PHP:847396
angular/swift,2013-05-23,2019-08-09,False,255958,JavaScript,182,29047,180,2292,92.7,Rust:671732|TypeScript:3065130|Java:3303204
torvalds/rust,2022-05-09,2024-01-29,False,181803,JavaScript,159,19517,306,1590,83.9,Python:2629012|C:1219155|Java:4185557
electron/tensorflow,2022-11-27,2023-08-11,False,340125,TypeScript,166,47668,1811,4415,70.9,TypeScript:1079951|Go:2661400|C++:1976844
vuejs/cpython,2018-05-11,2023-07-07,False,349495,C++,179,32899,1608,5608,77.7,Java:1884799|Ruby:4199546|JavaScript:4712501
facebook/freeCodeCamp,2022-10-10,2023-02-20,False,147693,JavaScript,129,15037,2969,4388,59.6,C++:2512612|TypeScript:3953321|Rust:305322
freeCodeCamp/laravel,2023-07-20,2024-04-17,False,121783,TypeScript,124,2930,3011,9644,76.2,PHP:4505984|Go:4595450|TypeScript:2641090
freeCodeCamp/react,2008-09-29,2017-08-02,False,340403,Rust,96,45386,2014,3199,61.4,PHP:4439749|JavaScript:1454727|C++:1988221
tensorflow/go,2013-04-21,2016-11-29,False,292969,Java,172,18449,3700,5673,60.5,Ruby:4604903|C:4567634|Java:4964726
angular/deno,2015-01-02,2021-07-30,False,230944,Go,171,1419,1937,2207,53.3,C++:4742369|PHP:802543|JavaScript:3767154
vercel/angular,2010-07-08,2022-12-26,False,325319,C++,58,46972,3572,4555,56.0,Python:1558201|Go:154895|Ruby:3420495
electron/cpython,2014-10-23,2017-12-17,False,324375,Ruby,100,21656,3464,7407,68.1,Java:2206997|C++:886307|C:2604327
django/linux,2014-01-14,2023-10-25,False,247179,TypeScript,78,10511,296,3875,92.9,C++:547201|Go:1288986|PHP:4057023
spring-projects/vscode,2022-10-25,2024-07-18,False,289691,Java,10,14496,276,3155,92.0,Go:3786227|C++:1467590|PHP:4910322
freeCodeCamp/deno,2017-12-13,2022-11-29,False,66250,Go,7,14339,2226,8726,79.7,C:3434500|PHP:2979551|JavaScript:3097924
django/rust,2012-09-27,2014-04-09,False,146623,Rust,196,42004,1853,4579,71.2,Java:1560581|PHP:4622526|Go:2084674
microsoft/vscode,2015-07-01,2020-02-17,False,109271,C++,54,31265,2513,2779,52.5,Ruby:4529388|TypeScript:559310|Java:4863228
torvalds/laravel,2018-02-11,2018-05-04,False,151656,Java,39,34088,4325,16490,79.2,C:4362697|Ruby:1026330|PHP:2713848
python/swift,2023-05-01,2024-06-02,False,147669,C++,192,5932,1259,11023,89.7,C:3856058|Java:2868092|Python:1553221
spring-projects/tensorflow,2025-06-07,2025-08-07,False,329522,Ruby,164,20393,231,956,80.5,Ruby:3893664|C++:401028|TypeScript:1409927
microsoft/electron,2008-01-20,2012-09-29,False,240021,Go,79,6034,829,1927,69.9,C:4730113|TypeScript:3357093|Ruby:4734819
electron/spring-boot,2010-11-05,2016-03-14,False,102557,Ruby,180,2193,875,6504,88.1,C:1093890|Rust:933121|JavaScript:2770153
facebook/vue,2015-04-05,2024-10-01,False,357734,JavaScript,76,5248,471,782,62.4,Java:1999746|PHP:4009561|Rust:3033732
microsoft/deno,2009-07-22,2020-12-01,False,369151,Python,115,42676,4727,10102,68.1,JavaScript:4400226|Go:1759553|Ruby:2994548
tensorflow/swift,2020-02-08,2025-04-25,False,210442,Ruby,46,11461,3044,5936,66.1,TypeScript:2972352|Ruby:1488211|Go:3163667
laravel/electron,2013-07-27,2024-05-13,False,197399,TypeScript,78,5676,714,1237,63.4,Go:555709|C:446164|C++:2037107
vuejs/spring-boot,2011-11-04,2018-02-21,False,111415,TypeScript,37,9947,3414,3581,51.2,Ruby:3387633|PHP:3027399|Python:2258756
golang/go,2015-12-03,2019-03-12,False,395742,Go,118,36041,2877,2970,50.8,C++:257475|Ruby:2122207|TypeScript:4497961
facebook/swift,2021-06-30,2022-04-08,False,388702,C,148,10773,3991,6323,61.3,C:530296|Rust:644565|Go:1401054
laravel/cpython,2014-09-09,2016-12-31,False,318122,Rust,34,42107,3965,14186,78.2,Go:824716|Java:4323280|C:523687
laravel/electron,2020-11-03,2024-08-27,False,126978,Ruby,125,36515,764,1709,69.1,Rust:1589654|Java:764747|JavaScript:3901504
apple/laravel,2021-04-29,2021-07-28,False,361114,Go,179,30422,1586,4801,75.2,C:3453637|Rust:2860173|PHP:4788580
electron/freeCodeCamp,2012-10-16,2015-06-04,False,308822,Go,173,6652,1206,2487,67.3,Ruby:4959927|JavaScript:1560403|Python:3649401
tensorflow/go,2009-03-13,2025-03-05,False,67672,Ruby,16,45375,567,1572,73.5,Python:696662|Go:3758582|Ruby:2858265
python/django,2016-10-29,2024-03-30,False,259825,Ruby,78,14581,961,9044,90.4,Go:3698132|C++:388658|PHP:2240161
laravel/cpython,2022-08-18,2025-05-07,False,191968,Ruby,130,45995,284,3242,91.9,Java:1311775|PHP:943905|Go:532251
rust-lang/cpython,2022-03-10,2023-10-12,False,380745,PHP,98,30968,4026,11322,73.8,C:154115|Rust:4342904|Java:4565763
tensorflow/react,2009-03-06,2016-04-27,False,340970,Python,163,30265,3453,12545,78.4,TypeScript:4810728|Rust:4175384|Java:1991077
django/swift,2015-03-26,2020-01-24,False,332030,Java,81,41074,3424,5135,60.0,Java:855518|Go:2163201|C:3284698
facebook/laravel,2011-11-22,2016-11-10,False,189533,TypeScript,65,37894,946,3614,79.3,PHP:3725002|Rust:569516|C++:505290
vercel/django,2009-07-16,2025-04-29,False,287396,C++,126,37202,1886,6285,76.9,Python:1870132|C:2509613|Java:4827213
vuejs/spring-boot,2022-02-17,2024-09-23,False,258120,Python,168,39332,2391,7542,75.9,Java:533474|TypeScript:4776803|Ruby:3244464
django/cpython,2011-12-16,2018-10-10,False,79614,Rust,42,37251,77,8933,99.1,JavaScript:969138|Python:2373980|TypeScript:2699978
